,exp,data type,label,time,data
110,UMSTBG1d,behavior,whisk,11,0.045803461
111,UMSTBG1d,behavior,whisk,11.1,0.056608696
112,UMSTBG1d,behavior,whisk,11.2,0.069900274
113,UMSTBG1d,behavior,whisk,11.3,0.048563916
114,UMSTBG1d,behavior,whisk,11.4,0.067997955
115,UMSTBG1d,behavior,whisk,11.5,0.105831362
116,UMSTBG1d,behavior,whisk,11.6,0.119902253
117,UMSTBG1d,behavior,whisk,11.7,0.090107061
118,UMSTBG1d,behavior,whisk,11.8,0.154826701
119,UMSTBG1d,behavior,whisk,11.9,0.157342479
120,UMSTBG1d,behavior,whisk,12,0.673601151
121,UMSTBG1d,behavior,whisk,12.1,0.244687781
122,UMSTBG1d,behavior,whisk,12.2,0.469979495
123,UMSTBG1d,behavior,whisk,12.3,0.632651269
124,UMSTBG1d,behavior,whisk,12.4,0.274316222
125,UMSTBG1d,behavior,whisk,12.5,0.062668249
126,UMSTBG1d,behavior,whisk,12.6,0.046507638
127,UMSTBG1d,behavior,whisk,12.7,0.088913798
128,UMSTBG1d,behavior,whisk,12.8,0.099845797
129,UMSTBG1d,behavior,whisk,12.9,0.707205951
130,UMSTBG1d,behavior,whisk,13,0.581083119
131,UMSTBG1d,behavior,whisk,13.1,0.422662973
132,UMSTBG1d,behavior,whisk,13.2,0.283835173
133,UMSTBG1d,behavior,whisk,13.3,0.256940395
134,UMSTBG1d,behavior,whisk,13.4,0.177431941
135,UMSTBG1d,behavior,whisk,13.5,0.083508141
136,UMSTBG1d,behavior,whisk,13.6,0.080417596
137,UMSTBG1d,behavior,whisk,13.7,0.094298899
138,UMSTBG1d,behavior,whisk,13.8,0.074582703
139,UMSTBG1d,behavior,whisk,13.9,0.17763561
140,UMSTBG1d,behavior,whisk,14,0.313015431
141,UMSTBG1d,behavior,whisk,14.1,0.228134289
142,UMSTBG1d,behavior,whisk,14.2,0.134077445
143,UMSTBG1d,behavior,whisk,14.3,0.068333387
144,UMSTBG1d,behavior,whisk,14.4,0.048887525
145,UMSTBG1d,behavior,whisk,14.5,0.081061371
146,UMSTBG1d,behavior,whisk,14.6,0.110572904
147,UMSTBG1d,behavior,whisk,14.7,0.133867845
148,UMSTBG1d,behavior,whisk,14.8,0.361856312
149,UMSTBG1d,behavior,whisk,14.9,0.125917509
150,UMSTBG1d,behavior,whisk,15,0.079920508
151,UMSTBG1d,behavior,whisk,15.1,0.194595411
152,UMSTBG1d,behavior,whisk,15.2,0.25519371
153,UMSTBG1d,behavior,whisk,15.3,0.316316217
154,UMSTBG1d,behavior,whisk,15.4,0.358312935
155,UMSTBG1d,behavior,whisk,15.5,0.419404984
156,UMSTBG1d,behavior,whisk,15.6,0.749853432
157,UMSTBG1d,behavior,whisk,15.7,0.283241034
158,UMSTBG1d,behavior,whisk,15.8,0.101791762
159,UMSTBG1d,behavior,whisk,15.9,0.249790356
160,UMSTBG1d,behavior,whisk,16,0.129516378
161,UMSTBG1d,behavior,whisk,16.1,0.070532061
162,UMSTBG1d,behavior,whisk,16.2,0.083256237
163,UMSTBG1d,behavior,whisk,16.3,0.03811121
164,UMSTBG1d,behavior,whisk,16.4,0.036947384
165,UMSTBG1d,behavior,whisk,16.5,0.09559945
166,UMSTBG1d,behavior,whisk,16.6,0.137813926
167,UMSTBG1d,behavior,whisk,16.7,0.996939182
168,UMSTBG1d,behavior,whisk,16.8,1.606647849
169,UMSTBG1d,behavior,whisk,16.9,0.514721811
170,UMSTBG1d,behavior,whisk,17,0.412302285
171,UMSTBG1d,behavior,whisk,17.1,0.258426905
172,UMSTBG1d,behavior,whisk,17.2,0.56969887
173,UMSTBG1d,behavior,whisk,17.3,1.045786023
174,UMSTBG1d,behavior,whisk,17.4,0.634421289
175,UMSTBG1d,behavior,whisk,17.5,0.460653424
176,UMSTBG1d,behavior,whisk,17.6,0.286247402
177,UMSTBG1d,behavior,whisk,17.7,0.516862214
178,UMSTBG1d,behavior,whisk,17.8,0.946970761
179,UMSTBG1d,behavior,whisk,17.9,0.607423604
180,UMSTBG1d,behavior,whisk,18,0.361533135
181,UMSTBG1d,behavior,whisk,18.1,0.26555413
182,UMSTBG1d,behavior,whisk,18.2,0.674753964
183,UMSTBG1d,behavior,whisk,18.3,0.630187213
184,UMSTBG1d,behavior,whisk,18.4,0.61976701
185,UMSTBG1d,behavior,whisk,18.5,0.381047875
186,UMSTBG1d,behavior,whisk,18.6,0.647691548
187,UMSTBG1d,behavior,whisk,18.7,0.312754482
188,UMSTBG1d,behavior,whisk,18.8,0.339931846
189,UMSTBG1d,behavior,whisk,18.9,0.269870937
190,UMSTBG1d,behavior,whisk,19,0.200261071
191,UMSTBG1d,behavior,whisk,19.1,0.300364852
192,UMSTBG1d,behavior,whisk,19.2,2.435364246
193,UMSTBG1d,behavior,whisk,19.3,0.568010271
194,UMSTBG1d,behavior,whisk,19.4,0.309667081
195,UMSTBG1d,behavior,whisk,19.5,1.180367351
196,UMSTBG1d,behavior,whisk,19.6,0.964175999
197,UMSTBG1d,behavior,whisk,19.7,1.534444809
198,UMSTBG1d,behavior,whisk,19.8,1.388560772
199,UMSTBG1d,behavior,whisk,19.9,1.623583436
200,UMSTBG1d,behavior,whisk,20,1.519190788
201,UMSTBG1d,behavior,whisk,20.1,2.219215393
202,UMSTBG1d,behavior,whisk,20.2,1.939905763
203,UMSTBG1d,behavior,whisk,20.3,2.610439062
204,UMSTBG1d,behavior,whisk,20.4,2.229947805
205,UMSTBG1d,behavior,whisk,20.5,1.546206474
206,UMSTBG1d,behavior,whisk,20.6,2.184542656
207,UMSTBG1d,behavior,whisk,20.7,3.301187515
208,UMSTBG1d,behavior,whisk,20.8,2.896962166
209,UMSTBG1d,behavior,whisk,20.9,2.655329466
210,UMSTBG1d,behavior,whisk,21,0.992805302
211,UMSTBG1d,behavior,whisk,21.1,1.303160787
212,UMSTBG1d,behavior,whisk,21.2,1.324121952
213,UMSTBG1d,behavior,whisk,21.3,1.828838944
