,exp,data type,label,time,data
118,UMSTBG,behavior,whisk,11.8,2.127961159
119,UMSTBG,behavior,whisk,11.9,1.165897608
120,UMSTBG,behavior,whisk,12,1.251737714
121,UMSTBG,behavior,whisk,12.1,1.075209498
122,UMSTBG,behavior,whisk,12.2,1.781414509
123,UMSTBG,behavior,whisk,12.3,0.516500711
124,UMSTBG,behavior,whisk,12.4,0.672398031
125,UMSTBG,behavior,whisk,12.5,0.836087942
126,UMSTBG,behavior,whisk,12.6,0.612623811
127,UMSTBG,behavior,whisk,12.7,1.389418602
128,UMSTBG,behavior,whisk,12.8,1.327146649
129,UMSTBG,behavior,whisk,12.9,1.043787599
130,UMSTBG,behavior,whisk,13,0.532220066
131,UMSTBG,behavior,whisk,13.1,0.11329297
132,UMSTBG,behavior,whisk,13.2,0.257667691
133,UMSTBG,behavior,whisk,13.3,0.127987012
134,UMSTBG,behavior,whisk,13.4,0.105899669
135,UMSTBG,behavior,whisk,13.5,0.118371427
136,UMSTBG,behavior,whisk,13.6,0.148839116
137,UMSTBG,behavior,whisk,13.7,0.074846111
138,UMSTBG,behavior,whisk,13.8,0.047420833
139,UMSTBG,behavior,whisk,13.9,0.106677152
140,UMSTBG,behavior,whisk,14,0.076947354
141,UMSTBG,behavior,whisk,14.1,0.074549012
142,UMSTBG,behavior,whisk,14.2,0.093685232
143,UMSTBG,behavior,whisk,14.3,0.075293452
144,UMSTBG,behavior,whisk,14.4,0.045626286
145,UMSTBG,behavior,whisk,14.5,0.054351915
146,UMSTBG,behavior,whisk,14.6,0.054527316
147,UMSTBG,behavior,whisk,14.7,0.070253797
148,UMSTBG,behavior,whisk,14.8,0.050174784
149,UMSTBG,behavior,whisk,14.9,0.045431975
150,UMSTBG,behavior,whisk,15,0.046138275
151,UMSTBG,behavior,whisk,15.1,0.042476904
152,UMSTBG,behavior,whisk,15.2,0.036413949
153,UMSTBG,behavior,whisk,15.3,0.04483882
154,UMSTBG,behavior,whisk,15.4,0.05580632
155,UMSTBG,behavior,whisk,15.5,0.06407772
156,UMSTBG,behavior,whisk,15.6,0.038117137
157,UMSTBG,behavior,whisk,15.7,0.044649433
158,UMSTBG,behavior,whisk,15.8,0.293531597
159,UMSTBG,behavior,whisk,15.9,0.231083453
160,UMSTBG,behavior,whisk,16,0.052913088
161,UMSTBG,behavior,whisk,16.1,0.053542655
162,UMSTBG,behavior,whisk,16.2,0.085049391
163,UMSTBG,behavior,whisk,16.3,0.056718722
164,UMSTBG,behavior,whisk,16.4,0.051793158
165,UMSTBG,behavior,whisk,16.5,0.061209496
166,UMSTBG,behavior,whisk,16.6,0.100419939
167,UMSTBG,behavior,whisk,16.7,0.069903374
168,UMSTBG,behavior,whisk,16.8,0.060924921
169,UMSTBG,behavior,whisk,16.9,0.058556568
170,UMSTBG,behavior,whisk,17,0.074057266
171,UMSTBG,behavior,whisk,17.1,0.077425443
172,UMSTBG,behavior,whisk,17.2,0.037948538
173,UMSTBG,behavior,whisk,17.3,0.076770693
174,UMSTBG,behavior,whisk,17.4,0.062204976
175,UMSTBG,behavior,whisk,17.5,0.123647533
176,UMSTBG,behavior,whisk,17.6,0.069421746
177,UMSTBG,behavior,whisk,17.7,0.054864854
178,UMSTBG,behavior,whisk,17.8,0.06414628
179,UMSTBG,behavior,whisk,17.9,0.09267693
180,UMSTBG,behavior,whisk,18,0.040936414
181,UMSTBG,behavior,whisk,18.1,0.043765273
182,UMSTBG,behavior,whisk,18.2,0.051274616
183,UMSTBG,behavior,whisk,18.3,0.029748624
184,UMSTBG,behavior,whisk,18.4,0.026283307
185,UMSTBG,behavior,whisk,18.5,0.071495302
186,UMSTBG,behavior,whisk,18.6,0.050567616
187,UMSTBG,behavior,whisk,18.7,0.038724426
188,UMSTBG,behavior,whisk,18.8,0.042804077
189,UMSTBG,behavior,whisk,18.9,0.04587267
190,UMSTBG,behavior,whisk,19,0.03082704
191,UMSTBG,behavior,whisk,19.1,0.05235368
192,UMSTBG,behavior,whisk,19.2,0.046528995
193,UMSTBG,behavior,whisk,19.3,0.032674782
194,UMSTBG,behavior,whisk,19.4,0.040268183
195,UMSTBG,behavior,whisk,19.5,0.033414632
196,UMSTBG,behavior,whisk,19.6,0.02806172
197,UMSTBG,behavior,whisk,19.7,0.023076454
198,UMSTBG,behavior,whisk,19.8,0.066926934
199,UMSTBG,behavior,whisk,19.9,0.102183081
200,UMSTBG,behavior,whisk,20,0.069641553
201,UMSTBG,behavior,whisk,20.1,0.055747624
202,UMSTBG,behavior,whisk,20.2,0.039343249
203,UMSTBG,behavior,whisk,20.3,0.044645321
204,UMSTBG,behavior,whisk,20.4,0.026813582
205,UMSTBG,behavior,whisk,20.5,0.068226658
206,UMSTBG,behavior,whisk,20.6,0.054426696
207,UMSTBG,behavior,whisk,20.7,0.042266842
208,UMSTBG,behavior,whisk,20.8,0.037239369
209,UMSTBG,behavior,whisk,20.9,0.028761653
210,UMSTBG,behavior,whisk,21,0.02652543
211,UMSTBG,behavior,whisk,21.1,0.028620651
212,UMSTBG,behavior,whisk,21.2,0.037459958
